year,level_1,level_2,level_3,level_4,value
2015,Males,"Services- Other Community, Social & Personal Services","Total","Other Combinations Of MRT Or Public Bus",0.9
2015,Males,"Services- Other Community, Social & Personal Services","Total","Taxi Only",0.2
2015,Males,"Services- Other Community, Social & Personal Services","Total","Car Only",7.6
2015,Males,"Services- Other Community, Social & Personal Services","Total","Private Chartered Bus/Van Only",0.9
2015,Males,"Services- Other Community, Social & Personal Services","Total","Lorry/Pickup Only",0.7
2015,Males,"Services- Other Community, Social & Personal Services","Total","Motorcycle/Scooter Only",1.9
2015,Males,"Services- Other Community, Social & Personal Services","Total","Others",0.5
2015,Males,"Services- Other Community, Social & Personal Services","Total","No Transport Required",1.9
2015,Males,Others,"Total","Public Bus Only",1.4
2015,Males,Others,"Total","MRT Only",1.1
2015,Males,Others,"Total","MRT & Public Bus Only",3.2
2015,Males,Others,"Total","Other Combinations Of MRT Or Public Bus",1.3
2015,Males,Others,"Total","Taxi Only",0
2015,Males,Others,"Total","Car Only",5.1
2015,Males,Others,"Total","Private Chartered Bus/Van Only",0.2
2015,Males,Others,"Total","Lorry/Pickup Only",1
2015,Males,Others,"Total","Motorcycle/Scooter Only",2
2015,Males,Others,"Total","Others",0.6
2015,Males,Others,"Total","No Transport Required",0.6
2015,Females,Total,"Total","Public Bus Only",198.4
2015,Females,Total,"Total","MRT Only",147.3
2015,Females,Total,"Total","MRT & Public Bus Only",281.2
2015,Females,Total,"Total","Other Combinations Of MRT Or Public Bus",57.3
2015,Females,Total,"Total","Taxi Only",13.4
2015,Females,Total,"Total","Car Only",150.5
2015,Females,Total,"Total","Private Chartered Bus/Van Only",21.3
2015,Females,Total,"Total","Lorry/Pickup Only",4.4
2015,Females,Total,"Total","Motorcycle/Scooter Only",4.5
2015,Females,Total,"Total","Others",9.3
2015,Females,Total,"Total","No Transport Required",88.4
2015,Females,Manufacturing,"Total","Public Bus Only",19.2
2015,Females,Manufacturing,"Total","MRT Only",6.2
2015,Females,Manufacturing,"Total","MRT & Public Bus Only",19.5
2015,Females,Manufacturing,"Total","Other Combinations Of MRT Or Public Bus",7.4
2015,Females,Manufacturing,"Total","Taxi Only",0.6
2015,Females,Manufacturing,"Total","Car Only",16.4
2015,Females,Manufacturing,"Total","Private Chartered Bus/Van Only",7.6
2015,Females,Manufacturing,"Total","Lorry/Pickup Only",0.7
2015,Females,Manufacturing,"Total","Motorcycle/Scooter Only",0.7
2015,Females,Manufacturing,"Total","Others",1.3
2015,Females,Manufacturing,"Total","No Transport Required",5.5
2015,Females,Construction,"Total","Public Bus Only",6.3
2015,Females,Construction,"Total","MRT Only",3.2
2015,Females,Construction,"Total","MRT & Public Bus Only",6.9
2015,Females,Construction,"Total","Other Combinations Of MRT Or Public Bus",0.9
2015,Females,Construction,"Total","Taxi Only",0.2
2015,Females,Construction,"Total","Car Only",7.9
2015,Females,Construction,"Total","Private Chartered Bus/Van Only",0.4
2015,Females,Construction,"Total","Lorry/Pickup Only",0.3
2015,Females,Construction,"Total","Motorcycle/Scooter Only",0.1
2015,Females,Construction,"Total","Others",0.2
2015,Females,Construction,"Total","No Transport Required",3.7
2015,Females,Services- Total,"Total","Public Bus Only",171.7
2015,Females,Services- Total,"Total","MRT Only",137.1
2015,Females,Services- Total,"Total","MRT & Public Bus Only",252.9
2015,Females,Services- Total,"Total","Other Combinations Of MRT Or Public Bus",48.3
2015,Females,Services- Total,"Total","Taxi Only",12.6
2015,Females,Services- Total,"Total","Car Only",125.4
