fare_type,applicable_time,distance,fare_per_ride
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),39.3 km - 40.2 km,122
Workfare transport concession card fare,Before 7.45am  (Weekdays excluding public holidays),Over 40.2 km,123
Workfare transport concession card fare,All other timings,Up to 3.2 km,69
Workfare transport concession card fare,All other timings,3.3 km - 4.2 km,77
Workfare transport concession card fare,All other timings,4.3 km - 5.2 km,85
Workfare transport concession card fare,All other timings,5.3 km - 6.2 km,93
Workfare transport concession card fare,All other timings,6.3 km - 7.2 km,100
Workfare transport concession card fare,All other timings,7.3 km - 8.2 km,106
Workfare transport concession card fare,All other timings,8.3 km - 9.2 km,112
Workfare transport concession card fare,All other timings,9.3 km - 10.2 km,115
Workfare transport concession card fare,All other timings,10.3 km - 11.2 km,118
Workfare transport concession card fare,All other timings,11.3 km - 12.2 km,121
Workfare transport concession card fare,All other timings,12.3 km - 13.2 km,124
Workfare transport concession card fare,All other timings,13.3 km - 14.2 km,127
Workfare transport concession card fare,All other timings,14.3 km - 15.2 km,130
Workfare transport concession card fare,All other timings,15.3 km - 16.2 km,133
Workfare transport concession card fare,All other timings,16.3 km - 17.2 km,136
Workfare transport concession card fare,All other timings,17.3 km - 18.2 km,139
Workfare transport concession card fare,All other timings,18.3 km - 19.2 km,142
Workfare transport concession card fare,All other timings,19.3 km - 20.2 km,145
Workfare transport concession card fare,All other timings,20.3 km - 21.2 km,148
Workfare transport concession card fare,All other timings,21.3 km - 22.2 km,151
Workfare transport concession card fare,All other timings,22.3 km - 23.2 km,154
Workfare transport concession card fare,All other timings,23.3 km - 24.2 km,156
Workfare transport concession card fare,All other timings,24.3 km - 25.2 km,157
Workfare transport concession card fare,All other timings,25.3 km - 26.2 km,158
Workfare transport concession card fare,All other timings,26.3 km - 27.2 km,159
Workfare transport concession card fare,All other timings,27.3 km - 28.2 km,160
Workfare transport concession card fare,All other timings,28.3 km - 29.2 km,161
Workfare transport concession card fare,All other timings,29.3 km - 30.2 km,162
Workfare transport concession card fare,All other timings,30.3 km - 31.2 km,163
Workfare transport concession card fare,All other timings,31.3 km - 32.2 km,164
Workfare transport concession card fare,All other timings,32.3 km - 33.2 km,165
Workfare transport concession card fare,All other timings,33.3 km - 34.2 km,166
Workfare transport concession card fare,All other timings,34.3 km - 35.2 km,167
Workfare transport concession card fare,All other timings,35.3 km - 36.2 km,168
Workfare transport concession card fare,All other timings,36.3 km - 37.2 km,169
Workfare transport concession card fare,All other timings,37.3 km - 38.2 km,170
Workfare transport concession card fare,All other timings,38.3 km - 39.2 km,171
Workfare transport concession card fare,All other timings,39.3 km - 40.2 km,172
Workfare transport concession card fare,All other timings,Over 40.2 km,173
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,10
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,17
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,24
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,31
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,37
Persons with diabilities card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,43
